Treatment assignment,Training sample size,Treatment imbalance,Spatial overlap of test and training data,Meta-learner,Covariate omission,Targeting error mean,Targeting error SD,Targeting error 95% CI,Targeting imprecision mean,Targeting imprecision SD,Targeting imprecision 95% CI,Ranking error mean,Ranking error SD,Ranking error 95% CI,Estimation error mean,Estimation error SD,Estimation error 95% CI,n Virtual studies
Random,1000,0.5,Core,S-learner,No omission,0.677,0.085,"[0.653, 0.701]",0.516,0.067,"[0.497, 0.535]",0.256,0.040,"[0.245, 0.268]",3.744,0.147,"[3.702, 3.786]",50
Random,1000,0.5,Core,T-learner,No omission,0.573,0.247,"[0.503, 0.643]",0.490,0.071,"[0.470, 0.510]",0.286,0.053,"[0.271, 0.301]",3.515,0.388,"[3.405, 3.625]",50
Random,1000,0.5,Core,X-learner,No omission,0.581,0.150,"[0.538, 0.623]",0.440,0.051,"[0.426, 0.454]",0.237,0.031,"[0.228, 0.245]",3.312,0.206,"[3.253, 3.370]",50
Random,1000,0.5,Core,DR-learner,No omission,0.503,0.229,"[0.438, 0.568]",0.446,0.053,"[0.431, 0.461]",0.239,0.035,"[0.229, 0.249]",3.272,0.256,"[3.199, 3.344]",50
Random,1000,0.5,Edge,S-learner,No omission,0.702,0.070,"[0.682, 0.721]",0.549,0.057,"[0.533, 0.565]",0.390,0.099,"[0.362, 0.418]",5.237,0.325,"[5.145, 5.330]",50
Random,1000,0.5,Edge,T-learner,No omission,0.587,0.186,"[0.534, 0.640]",0.462,0.075,"[0.441, 0.483]",0.277,0.079,"[0.254, 0.299]",3.532,0.320,"[3.441, 3.623]",50
Random,1000,0.5,Edge,X-learner,No omission,0.448,0.248,"[0.378, 0.519]",0.389,0.058,"[0.373, 0.406]",0.200,0.045,"[0.187, 0.213]",3.227,0.246,"[3.157, 3.297]",50
Random,1000,0.5,Edge,DR-learner,No omission,0.471,0.251,"[0.399, 0.542]",0.391,0.064,"[0.373, 0.409]",0.218,0.057,"[0.201, 0.234]",3.220,0.287,"[3.139, 3.302]",50
Random,1000,0.5,Random,S-learner,Omit covariate,0.483,0.215,"[0.422, 0.544]",0.454,0.077,"[0.432, 0.476]",0.280,0.041,"[0.269, 0.292]",6.317,0.273,"[6.240, 6.395]",50
Random,1000,0.5,Random,T-learner,Omit covariate,0.439,0.261,"[0.364, 0.513]",0.415,0.072,"[0.394, 0.435]",0.288,0.034,"[0.278, 0.297]",4.963,0.292,"[4.880, 5.046]",50
Random,1000,0.5,Random,X-learner,Omit covariate,0.365,0.247,"[0.295, 0.436]",0.352,0.048,"[0.338, 0.365]",0.220,0.017,"[0.215, 0.225]",4.737,0.193,"[4.682, 4.792]",50
Random,1000,0.5,Random,DR-learner,Omit covariate,0.345,0.227,"[0.280, 0.410]",0.374,0.057,"[0.357, 0.390]",0.217,0.027,"[0.210, 0.225]",4.550,0.226,"[4.486, 4.615]",50
Random,1000,0.5,Core,S-learner,Omit covariate,0.677,0.125,"[0.642, 0.713]",0.495,0.062,"[0.478, 0.513]",0.277,0.045,"[0.264, 0.290]",3.768,0.174,"[3.718, 3.817]",50
Random,1000,0.5,Core,T-learner,Omit covariate,0.581,0.224,"[0.517, 0.644]",0.492,0.063,"[0.474, 0.510]",0.293,0.049,"[0.279, 0.307]",3.540,0.353,"[3.439, 3.640]",50
Random,1000,0.5,Core,X-learner,Omit covariate,0.571,0.188,"[0.518, 0.624]",0.455,0.049,"[0.440, 0.469]",0.253,0.030,"[0.244, 0.261]",3.332,0.179,"[3.281, 3.383]",50
Random,1000,0.5,Core,DR-learner,Omit covariate,0.560,0.285,"[0.479, 0.641]",0.469,0.064,"[0.451, 0.487]",0.255,0.034,"[0.245, 0.265]",3.394,0.277,"[3.315, 3.472]",50
Random,1000,0.5,Edge,S-learner,Omit covariate,0.697,0.081,"[0.674, 0.720]",0.532,0.062,"[0.514, 0.549]",0.385,0.085,"[0.361, 0.409]",5.148,0.414,"[5.030, 5.266]",50
Random,1000,0.5,Edge,T-learner,Omit covariate,0.657,0.098,"[0.629, 0.685]",0.494,0.076,"[0.472, 0.515]",0.350,0.101,"[0.321, 0.379]",3.879,0.444,"[3.753, 4.005]",50
Random,1000,0.5,Edge,X-learner,Omit covariate,0.632,0.140,"[0.592, 0.672]",0.439,0.056,"[0.423, 0.455]",0.270,0.054,"[0.254, 0.285]",3.480,0.203,"[3.422, 3.537]",50
Random,1000,0.5,Edge,DR-learner,Omit covariate,0.491,0.221,"[0.429, 0.554]",0.412,0.060,"[0.395, 0.429]",0.242,0.051,"[0.228, 0.257]",3.269,0.234,"[3.203, 3.336]",50
Random,250,0.7,Random,S-learner,No omission,0.738,0.223,"[0.675, 0.802]",0.662,0.105,"[0.632, 0.692]",0.548,0.095,"[0.521, 0.575]",7.758,0.360,"[7.656, 7.860]",50
Random,250,0.7,Random,T-learner,No omission,0.622,0.270,"[0.545, 0.698]",0.565,0.090,"[0.540, 0.591]",0.488,0.098,"[0.460, 0.515]",6.167,0.683,"[5.973, 6.361]",50
Random,250,0.7,Random,X-learner,No omission,0.495,0.260,"[0.421, 0.569]",0.435,0.070,"[0.416, 0.455]",0.296,0.062,"[0.278, 0.313]",5.349,0.326,"[5.257, 5.442]",50
Random,250,0.7,Random,DR-learner,No omission,0.514,0.281,"[0.435, 0.594]",0.592,0.083,"[0.568, 0.616]",0.475,0.096,"[0.448, 0.502]",6.071,0.670,"[5.880, 6.261]",50
Random,250,0.7,Core,S-learner,No omission,0.712,0.127,"[0.676, 0.748]",0.598,0.076,"[0.576, 0.620]",0.472,0.083,"[0.449, 0.496]",4.693,0.276,"[4.615, 4.772]",50
Random,250,0.7,Core,T-learner,No omission,0.722,0.214,"[0.661, 0.783]",0.592,0.090,"[0.566, 0.617]",0.480,0.116,"[0.447, 0.513]",4.502,0.640,"[4.320, 4.684]",50
Random,250,0.7,Core,X-learner,No omission,0.650,0.188,"[0.597, 0.703]",0.526,0.086,"[0.502, 0.551]",0.344,0.076,"[0.322, 0.366]",3.860,0.374,"[3.754, 3.966]",50
Random,250,0.7,Core,DR-learner,No omission,0.662,0.204,"[0.604, 0.720]",0.551,0.108,"[0.520, 0.582]",0.428,0.118,"[0.394, 0.461]",4.347,0.552,"[4.190, 4.504]",50
Random,250,0.7,Edge,S-learner,No omission,0.813,0.129,"[0.776, 0.850]",0.725,0.116,"[0.693, 0.758]",0.783,0.208,"[0.724, 0.842]",6.782,0.588,"[6.615, 6.949]",50
Random,250,0.7,Edge,T-learner,No omission,0.761,0.193,"[0.706, 0.816]",0.662,0.122,"[0.627, 0.696]",0.710,0.198,"[0.654, 0.766]",5.165,0.622,"[4.989, 5.342]",50
Random,250,0.7,Edge,X-learner,No omission,0.591,0.212,"[0.531, 0.652]",0.522,0.096,"[0.495, 0.549]",0.345,0.118,"[0.312, 0.378]",3.837,0.330,"[3.744, 3.931]",50
Random,250,0.7,Edge,DR-learner,No omission,0.791,0.285,"[0.710, 0.872]",0.676,0.130,"[0.639, 0.713]",0.698,0.233,"[0.631, 0.764]",4.681,0.607,"[4.508, 4.853]",50
Random,250,0.7,Random,S-learner,Omit covariate,0.719,0.225,"[0.655, 0.783]",0.642,0.110,"[0.610, 0.673]",0.581,0.106,"[0.551, 0.611]",7.796,0.303,"[7.710, 7.882]",50
Random,250,0.7,Random,T-learner,Omit covariate,0.658,0.265,"[0.583, 0.733]",0.596,0.093,"[0.570, 0.623]",0.539,0.107,"[0.509, 0.570]",6.407,0.486,"[6.269, 6.545]",50
Random,250,0.7,Random,X-learner,Omit covariate,0.618,0.258,"[0.544, 0.691]",0.464,0.078,"[0.441, 0.486]",0.315,0.056,"[0.299, 0.331]",5.374,0.372,"[5.268, 5.479]",50
Random,250,0.7,Random,DR-learner,Omit covariate,0.645,0.280,"[0.566, 0.725]",0.611,0.107,"[0.580, 0.641]",0.512,0.096,"[0.485, 0.539]",6.229,0.661,"[6.041, 6.417]",50
Random,250,0.7,Core,S-learner,Omit covariate,0.720,0.092,"[0.694, 0.746]",0.612,0.086,"[0.587, 0.636]",0.486,0.084,"[0.462, 0.509]",4.607,0.261,"[4.533, 4.681]",50
Random,250,0.7,Core,T-learner,Omit covariate,0.703,0.212,"[0.642, 0.763]",0.599,0.091,"[0.573, 0.625]",0.492,0.105,"[0.462, 0.522]",4.580,0.520,"[4.432, 4.728]",50
Random,250,0.7,Core,X-learner,Omit covariate,0.681,0.206,"[0.622, 0.739]",0.574,0.087,"[0.549, 0.598]",0.365,0.080,"[0.342, 0.387]",3.909,0.375,"[3.802, 4.015]",50
Random,250,0.7,Core,DR-learner,Omit covariate,0.734,0.177,"[0.684, 0.785]",0.602,0.107,"[0.572, 0.632]",0.487,0.110,"[0.455, 0.518]",4.405,0.561,"[4.245, 4.564]",50
Random,250,0.7,Edge,S-learner,Omit covariate,0.844,0.178,"[0.793, 0.894]",0.695,0.124,"[0.659, 0.730]",0.725,0.254,"[0.653, 0.797]",6.656,0.732,"[6.447, 6.864]",50
Random,250,0.7,Edge,T-learner,Omit covariate,0.801,0.168,"[0.753, 0.848]",0.698,0.123,"[0.663, 0.733]",0.770,0.243,"[0.701, 0.839]",5.617,0.885,"[5.366, 5.868]",50
Random,250,0.7,Edge,X-learner,Omit covariate,0.687,0.151,"[0.644, 0.730]",0.559,0.086,"[0.535, 0.583]",0.419,0.094,"[0.392, 0.446]",4.075,0.342,"[3.978, 4.172]",50
Random,250,0.7,Edge,DR-learner,Omit covariate,0.869,0.225,"[0.806, 0.933]",0.726,0.104,"[0.697, 0.756]",0.768,0.221,"[0.705, 0.831]",5.136,0.780,"[4.914, 5.358]",50
Random,500,0.7,Random,S-learner,No omission,0.654,0.205,"[0.596, 0.712]",0.611,0.075,"[0.590, 0.632]",0.457,0.070,"[0.437, 0.477]",7.323,0.332,"[7.229, 7.418]",50
Random,500,0.7,Random,T-learner,No omission,0.484,0.267,"[0.408, 0.560]",0.525,0.095,"[0.499, 0.552]",0.382,0.072,"[0.362, 0.403]",5.550,0.421,"[5.431, 5.670]",50
Random,500,0.7,Random,X-learner,No omission,0.527,0.257,"[0.454, 0.600]",0.382,0.052,"[0.367, 0.397]",0.226,0.025,"[0.219, 0.233]",4.978,0.266,"[4.903, 5.054]",50
Random,500,0.7,Random,DR-learner,No omission,0.464,0.282,"[0.384, 0.544]",0.516,0.075,"[0.495, 0.538]",0.363,0.076,"[0.342, 0.385]",5.492,0.429,"[5.370, 5.614]",50
Random,500,0.7,Core,S-learner,No omission,0.695,0.090,"[0.669, 0.720]",0.578,0.066,"[0.560, 0.597]",0.408,0.072,"[0.388, 0.429]",4.310,0.259,"[4.237, 4.384]",50
Random,500,0.7,Core,T-learner,No omission,0.685,0.253,"[0.613, 0.757]",0.551,0.072,"[0.531, 0.571]",0.406,0.088,"[0.381, 0.431]",4.086,0.463,"[3.955, 4.218]",50
Random,500,0.7,Core,X-learner,No omission,0.652,0.118,"[0.619, 0.686]",0.475,0.057,"[0.459, 0.492]",0.290,0.052,"[0.275, 0.305]",3.616,0.303,"[3.530, 3.702]",50
Random,500,0.7,Core,DR-learner,No omission,0.622,0.211,"[0.562, 0.682]",0.515,0.077,"[0.493, 0.536]",0.322,0.074,"[0.301, 0.343]",3.708,0.393,"[3.596, 3.819]",50
Random,500,0.7,Edge,S-learner,No omission,0.746,0.098,"[0.718, 0.774]",0.619,0.092,"[0.593, 0.645]",0.607,0.148,"[0.565, 0.649]",6.181,0.401,"[6.067, 6.295]",50
Random,500,0.7,Edge,T-learner,No omission,0.702,0.158,"[0.657, 0.747]",0.586,0.090,"[0.561, 0.612]",0.548,0.165,"[0.501, 0.595]",4.490,0.461,"[4.359, 4.621]",50
Random,500,0.7,Edge,X-learner,No omission,0.566,0.239,"[0.498, 0.634]",0.454,0.093,"[0.427, 0.480]",0.278,0.101,"[0.249, 0.306]",3.524,0.329,"[3.430, 3.617]",50
Random,500,0.7,Edge,DR-learner,No omission,0.714,0.228,"[0.650, 0.779]",0.587,0.101,"[0.558, 0.616]",0.527,0.167,"[0.479, 0.574]",4.273,0.413,"[4.156, 4.390]",50
Random,500,0.7,Random,S-learner,Omit covariate,0.606,0.214,"[0.545, 0.667]",0.572,0.077,"[0.550, 0.594]",0.446,0.062,"[0.428, 0.464]",7.167,0.332,"[7.072, 7.261]",50
Random,500,0.7,Random,T-learner,Omit covariate,0.547,0.262,"[0.472, 0.621]",0.554,0.081,"[0.531, 0.577]",0.457,0.068,"[0.437, 0.476]",5.859,0.364,"[5.755, 5.962]",50
Random,500,0.7,Random,X-learner,Omit covariate,0.472,0.250,"[0.401, 0.543]",0.407,0.060,"[0.390, 0.424]",0.258,0.034,"[0.248, 0.267]",5.059,0.285,"[4.978, 5.140]",50
Random,500,0.7,Random,DR-learner,Omit covariate,0.510,0.256,"[0.437, 0.583]",0.542,0.087,"[0.517, 0.567]",0.411,0.071,"[0.391, 0.431]",5.676,0.461,"[5.545, 5.807]",50
Random,500,0.7,Core,S-learner,Omit covariate,0.724,0.095,"[0.697, 0.751]",0.577,0.065,"[0.559, 0.596]",0.416,0.073,"[0.395, 0.436]",4.332,0.240,"[4.263, 4.400]",50
Random,500,0.7,Core,T-learner,Omit covariate,0.707,0.202,"[0.650, 0.765]",0.572,0.084,"[0.548, 0.596]",0.427,0.083,"[0.404, 0.451]",4.255,0.476,"[4.119, 4.390]",50
Random,500,0.7,Core,X-learner,Omit covariate,0.632,0.228,"[0.568, 0.697]",0.514,0.068,"[0.494, 0.533]",0.312,0.059,"[0.295, 0.329]",3.647,0.305,"[3.560, 3.733]",50
Random,500,0.7,Core,DR-learner,Omit covariate,0.660,0.182,"[0.608, 0.712]",0.516,0.073,"[0.496, 0.537]",0.358,0.083,"[0.334, 0.381]",3.976,0.490,"[3.837, 4.115]",50
Random,500,0.7,Edge,S-learner,Omit covariate,0.738,0.103,"[0.708, 0.767]",0.617,0.094,"[0.591, 0.644]",0.619,0.174,"[0.570, 0.669]",5.968,0.599,"[5.797, 6.138]",50
Random,500,0.7,Edge,T-learner,Omit covariate,0.745,0.138,"[0.706, 0.784]",0.617,0.094,"[0.591, 0.644]",0.620,0.148,"[0.577, 0.662]",4.914,0.640,"[4.733, 5.096]",50
Random,500,0.7,Edge,X-learner,Omit covariate,0.677,0.152,"[0.634, 0.721]",0.487,0.082,"[0.464, 0.510]",0.333,0.082,"[0.309, 0.356]",3.757,0.314,"[3.667, 3.846]",50
Random,500,0.7,Edge,DR-learner,Omit covariate,0.697,0.255,"[0.625, 0.769]",0.618,0.107,"[0.588, 0.649]",0.613,0.184,"[0.560, 0.665]",4.591,0.589,"[4.424, 4.758]",50
Random,1000,0.7,Random,S-learner,No omission,0.553,0.209,"[0.494, 0.612]",0.526,0.059,"[0.510, 0.543]",0.348,0.053,"[0.332, 0.363]",6.668,0.236,"[6.601, 6.735]",50
Random,1000,0.7,Random,T-learner,No omission,0.505,0.274,"[0.427, 0.583]",0.435,0.069,"[0.416, 0.455]",0.296,0.048,"[0.283, 0.310]",5.147,0.324,"[5.055, 5.239]",50
Random,1000,0.7,Random,X-learner,No omission,0.461,0.264,"[0.386, 0.536]",0.337,0.050,"[0.323, 0.351]",0.187,0.017,"[0.182, 0.192]",4.632,0.187,"[4.579, 4.685]",50
Random,1000,0.7,Random,DR-learner,No omission,0.435,0.253,"[0.363, 0.507]",0.443,0.069,"[0.423, 0.462]",0.254,0.042,"[0.242, 0.266]",4.934,0.303,"[4.847, 5.020]",50
Random,1000,0.7,Core,S-learner,No omission,0.700,0.090,"[0.675, 0.726]",0.545,0.066,"[0.527, 0.564]",0.326,0.053,"[0.311, 0.341]",3.943,0.176,"[3.893, 3.993]",50
Random,1000,0.7,Core,T-learner,No omission,0.668,0.179,"[0.617, 0.718]",0.525,0.075,"[0.503, 0.546]",0.336,0.062,"[0.318, 0.354]",3.800,0.367,"[3.696, 3.905]",50
Random,1000,0.7,Core,X-learner,No omission,0.636,0.122,"[0.601, 0.670]",0.452,0.051,"[0.437, 0.466]",0.245,0.033,"[0.236, 0.254]",3.383,0.217,"[3.321, 3.445]",50
Random,1000,0.7,Core,DR-learner,No omission,0.620,0.189,"[0.566, 0.674]",0.476,0.068,"[0.457, 0.496]",0.267,0.048,"[0.254, 0.281]",3.454,0.263,"[3.379, 3.528]",50
Random,1000,0.7,Edge,S-learner,No omission,0.725,0.087,"[0.700, 0.750]",0.585,0.068,"[0.565, 0.604]",0.507,0.107,"[0.477, 0.538]",5.394,0.317,"[5.304, 5.485]",50
Random,1000,0.7,Edge,T-learner,No omission,0.629,0.166,"[0.582, 0.676]",0.535,0.077,"[0.513, 0.556]",0.395,0.101,"[0.366, 0.424]",4.072,0.348,"[3.973, 4.171]",50
Random,1000,0.7,Edge,X-learner,No omission,0.520,0.209,"[0.461, 0.580]",0.392,0.057,"[0.376, 0.408]",0.218,0.054,"[0.203, 0.233]",3.274,0.270,"[3.197, 3.351]",50
Random,1000,0.7,Edge,DR-learner,No omission,0.574,0.266,"[0.498, 0.649]",0.487,0.090,"[0.462, 0.513]",0.328,0.116,"[0.295, 0.361]",3.771,0.326,"[3.678, 3.863]",50
Random,1000,0.7,Random,S-learner,Omit covariate,0.598,0.148,"[0.556, 0.640]",0.520,0.071,"[0.500, 0.540]",0.361,0.046,"[0.347, 0.374]",6.660,0.253,"[6.588, 6.732]",50
Random,1000,0.7,Random,T-learner,Omit covariate,0.464,0.261,"[0.390, 0.538]",0.476,0.062,"[0.459, 0.494]",0.352,0.060,"[0.335, 0.369]",5.339,0.372,"[5.233, 5.444]",50
Random,1000,0.7,Random,X-learner,Omit covariate,0.446,0.262,"[0.371, 0.520]",0.361,0.049,"[0.347, 0.375]",0.215,0.019,"[0.209, 0.220]",4.729,0.233,"[4.663, 4.795]",50
Random,1000,0.7,Random,DR-learner,Omit covariate,0.361,0.204,"[0.303, 0.419]",0.489,0.072,"[0.469, 0.510]",0.317,0.047,"[0.303, 0.330]",5.187,0.342,"[5.090, 5.284]",50
Random,1000,0.7,Core,S-learner,Omit covariate,0.695,0.072,"[0.674, 0.715]",0.548,0.065,"[0.530, 0.567]",0.337,0.052,"[0.322, 0.352]",3.976,0.208,"[3.917, 4.035]",50
Random,1000,0.7,Core,T-learner,Omit covariate,0.651,0.242,"[0.582, 0.720]",0.550,0.076,"[0.528, 0.572]",0.351,0.068,"[0.331, 0.370]",3.789,0.353,"[3.689, 3.890]",50
Random,1000,0.7,Core,X-learner,Omit covariate,0.622,0.170,"[0.574, 0.671]",0.466,0.048,"[0.453, 0.480]",0.257,0.036,"[0.247, 0.267]",3.369,0.187,"[3.315, 3.422]",50
Random,1000,0.7,Core,DR-learner,Omit covariate,0.638,0.211,"[0.578, 0.698]",0.505,0.066,"[0.486, 0.523]",0.299,0.051,"[0.285, 0.314]",3.627,0.356,"[3.525, 3.728]",50
Random,1000,0.7,Edge,S-learner,Omit covariate,0.729,0.083,"[0.706, 0.753]",0.558,0.072,"[0.538, 0.579]",0.476,0.111,"[0.444, 0.507]",5.369,0.439,"[5.244, 5.493]",50
Random,1000,0.7,Edge,T-learner,Omit covariate,0.672,0.155,"[0.628, 0.716]",0.542,0.073,"[0.521, 0.563]",0.477,0.105,"[0.447, 0.507]",4.474,0.380,"[4.365, 4.582]",50
Random,1000,0.7,Edge,X-learner,Omit covariate,0.632,0.164,"[0.585, 0.678]",0.443,0.063,"[0.425, 0.461]",0.275,0.061,"[0.257, 0.292]",3.463,0.240,"[3.395, 3.531]",50
Random,1000,0.7,Edge,DR-learner,Omit covariate,0.679,0.197,"[0.624, 0.735]",0.540,0.077,"[0.518, 0.562]",0.478,0.129,"[0.441, 0.515]",4.190,0.393,"[4.078, 4.302]",50
Non-random,250,0.3,Random,S-learner,No omission,0.574,0.250,"[0.502, 0.645]",0.525,0.095,"[0.498, 0.551]",0.368,0.068,"[0.348, 0.387]",7.323,0.387,"[7.213, 7.433]",50
Non-random,250,0.3,Random,T-learner,No omission,0.680,0.159,"[0.635, 0.725]",0.457,0.065,"[0.439, 0.476]",0.352,0.057,"[0.336, 0.368]",6.119,0.703,"[5.919, 6.319]",50
Non-random,250,0.3,Random,X-learner,No omission,0.495,0.226,"[0.431, 0.559]",0.476,0.087,"[0.452, 0.501]",0.328,0.052,"[0.313, 0.343]",5.515,0.251,"[5.444, 5.587]",50
Non-random,250,0.3,Random,DR-learner,No omission,0.593,0.181,"[0.541, 0.644]",0.396,0.057,"[0.380, 0.413]",0.271,0.037,"[0.261, 0.282]",5.779,1.098,"[5.467, 6.091]",50
Non-random,250,0.3,Core,S-learner,No omission,0.682,0.095,"[0.655, 0.709]",0.556,0.103,"[0.527, 0.586]",0.372,0.069,"[0.352, 0.391]",4.364,0.281,"[4.284, 4.443]",50
Non-random,250,0.3,Core,T-learner,No omission,0.602,0.249,"[0.531, 0.673]",0.552,0.075,"[0.531, 0.573]",0.459,0.077,"[0.437, 0.480]",5.161,1.024,"[4.870, 5.452]",50
Non-random,250,0.3,Core,X-learner,No omission,0.518,0.262,"[0.443, 0.592]",0.510,0.081,"[0.487, 0.533]",0.360,0.083,"[0.336, 0.383]",3.906,0.353,"[3.805, 4.006]",50
Non-random,250,0.3,Core,DR-learner,No omission,0.461,0.263,"[0.386, 0.536]",0.527,0.063,"[0.509, 0.545]",0.403,0.058,"[0.387, 0.420]",5.328,1.213,"[4.983, 5.673]",50
Non-random,250,0.3,Edge,S-learner,No omission,0.716,0.116,"[0.683, 0.749]",0.581,0.095,"[0.554, 0.608]",0.443,0.156,"[0.398, 0.487]",6.734,0.604,"[6.562, 6.905]",50
Non-random,250,0.3,Edge,T-learner,No omission,0.535,0.248,"[0.464, 0.605]",0.485,0.079,"[0.462, 0.507]",0.353,0.100,"[0.324, 0.381]",4.049,0.616,"[3.874, 4.224]",50
Non-random,250,0.3,Edge,X-learner,No omission,0.564,0.241,"[0.495, 0.632]",0.488,0.068,"[0.469, 0.508]",0.331,0.085,"[0.307, 0.355]",3.810,0.241,"[3.742, 3.879]",50
Non-random,250,0.3,Edge,DR-learner,No omission,0.507,0.205,"[0.449, 0.566]",0.455,0.081,"[0.431, 0.478]",0.282,0.072,"[0.261, 0.302]",3.795,0.688,"[3.600, 3.991]",50
Non-random,250,0.3,Random,S-learner,Omit covariate,0.584,0.214,"[0.523, 0.644]",0.475,0.060,"[0.458, 0.492]",0.359,0.052,"[0.344, 0.374]",7.086,0.493,"[6.946, 7.226]",50
Non-random,250,0.3,Random,T-learner,Omit covariate,0.593,0.223,"[0.530, 0.657]",0.467,0.063,"[0.449, 0.485]",0.376,0.057,"[0.360, 0.393]",6.015,0.607,"[5.843, 6.188]",50
Non-random,250,0.3,Random,X-learner,Omit covariate,0.474,0.267,"[0.398, 0.550]",0.475,0.084,"[0.451, 0.498]",0.335,0.067,"[0.316, 0.354]",5.498,0.325,"[5.405, 5.590]",50
Non-random,250,0.3,Random,DR-learner,Omit covariate,0.602,0.191,"[0.548, 0.657]",0.415,0.071,"[0.395, 0.436]",0.305,0.047,"[0.292, 0.319]",5.764,0.761,"[5.548, 5.981]",50
Non-random,250,0.3,Core,S-learner,Omit covariate,0.658,0.215,"[0.597, 0.719]",0.561,0.065,"[0.542, 0.579]",0.433,0.073,"[0.413, 0.454]",4.198,0.316,"[4.109, 4.288]",50
Non-random,250,0.3,Core,T-learner,Omit covariate,0.602,0.255,"[0.530, 0.674]",0.585,0.072,"[0.564, 0.605]",0.479,0.088,"[0.455, 0.504]",5.441,0.816,"[5.209, 5.673]",50
Non-random,250,0.3,Core,X-learner,Omit covariate,0.505,0.281,"[0.425, 0.585]",0.553,0.069,"[0.533, 0.572]",0.374,0.074,"[0.353, 0.395]",4.147,0.370,"[4.042, 4.252]",50
Non-random,250,0.3,Core,DR-learner,Omit covariate,0.593,0.236,"[0.526, 0.660]",0.557,0.060,"[0.540, 0.574]",0.443,0.062,"[0.426, 0.461]",5.385,1.030,"[5.092, 5.678]",50
Non-random,250,0.3,Edge,S-learner,Omit covariate,0.697,0.141,"[0.657, 0.737]",0.552,0.114,"[0.520, 0.584]",0.410,0.134,"[0.372, 0.448]",6.456,0.657,"[6.269, 6.643]",50
Non-random,250,0.3,Edge,T-learner,Omit covariate,0.680,0.137,"[0.641, 0.719]",0.495,0.095,"[0.467, 0.522]",0.369,0.119,"[0.335, 0.403]",4.161,0.513,"[4.015, 4.307]",50
Non-random,250,0.3,Edge,X-learner,Omit covariate,0.699,0.147,"[0.657, 0.741]",0.505,0.084,"[0.481, 0.528]",0.379,0.133,"[0.341, 0.416]",3.963,0.378,"[3.855, 4.070]",50
Non-random,250,0.3,Edge,DR-learner,Omit covariate,0.650,0.211,"[0.590, 0.710]",0.462,0.087,"[0.437, 0.487]",0.287,0.080,"[0.265, 0.310]",3.854,0.578,"[3.690, 4.019]",50
Non-random,500,0.3,Random,S-learner,No omission,0.524,0.228,"[0.459, 0.589]",0.473,0.053,"[0.458, 0.488]",0.298,0.043,"[0.286, 0.310]",6.925,0.365,"[6.821, 7.029]",50
Non-random,500,0.3,Random,T-learner,No omission,0.652,0.194,"[0.597, 0.707]",0.387,0.056,"[0.371, 0.403]",0.272,0.039,"[0.261, 0.283]",5.265,0.493,"[5.125, 5.405]",50
Non-random,500,0.3,Random,X-learner,No omission,0.397,0.243,"[0.328, 0.466]",0.419,0.066,"[0.400, 0.438]",0.256,0.037,"[0.246, 0.266]",5.176,0.182,"[5.124, 5.228]",50
Non-random,500,0.3,Random,DR-learner,No omission,0.607,0.178,"[0.557, 0.658]",0.375,0.052,"[0.361, 0.390]",0.222,0.021,"[0.216, 0.228]",5.146,0.561,"[4.986, 5.305]",50
Non-random,500,0.3,Core,S-learner,No omission,0.700,0.101,"[0.671, 0.728]",0.505,0.081,"[0.481, 0.528]",0.315,0.058,"[0.298, 0.332]",3.950,0.277,"[3.871, 4.029]",50
Non-random,500,0.3,Core,T-learner,No omission,0.481,0.245,"[0.412, 0.551]",0.519,0.060,"[0.502, 0.536]",0.384,0.054,"[0.369, 0.400]",4.616,0.772,"[4.397, 4.836]",50
Non-random,500,0.3,Core,X-learner,No omission,0.529,0.244,"[0.459, 0.598]",0.483,0.059,"[0.466, 0.499]",0.285,0.062,"[0.268, 0.303]",3.582,0.269,"[3.506, 3.659]",50
Non-random,500,0.3,Core,DR-learner,No omission,0.537,0.233,"[0.471, 0.603]",0.506,0.054,"[0.491, 0.522]",0.342,0.046,"[0.329, 0.355]",4.472,0.814,"[4.241, 4.704]",50
Non-random,500,0.3,Edge,S-learner,No omission,0.684,0.125,"[0.649, 0.720]",0.530,0.077,"[0.508, 0.552]",0.362,0.106,"[0.332, 0.392]",5.971,0.516,"[5.824, 6.117]",50
Non-random,500,0.3,Edge,T-learner,No omission,0.519,0.219,"[0.456, 0.581]",0.447,0.066,"[0.429, 0.466]",0.283,0.065,"[0.264, 0.301]",3.618,0.321,"[3.526, 3.709]",50
Non-random,500,0.3,Edge,X-learner,No omission,0.505,0.254,"[0.433, 0.577]",0.439,0.072,"[0.419, 0.460]",0.270,0.072,"[0.249, 0.290]",3.599,0.223,"[3.536, 3.662]",50
Non-random,500,0.3,Edge,DR-learner,No omission,0.431,0.196,"[0.376, 0.487]",0.412,0.066,"[0.393, 0.431]",0.204,0.041,"[0.192, 0.216]",3.203,0.292,"[3.120, 3.286]",50
Non-random,500,0.3,Random,S-learner,Omit covariate,0.527,0.261,"[0.453, 0.601]",0.418,0.066,"[0.399, 0.437]",0.287,0.040,"[0.276, 0.299]",6.545,0.335,"[6.449, 6.640]",50
Non-random,500,0.3,Random,T-learner,Omit covariate,0.630,0.200,"[0.573, 0.687]",0.419,0.066,"[0.400, 0.438]",0.305,0.044,"[0.292, 0.318]",5.577,0.513,"[5.431, 5.723]",50
