Treatment assignment,Training sample size,Treatment imbalance,Spatial overlap of test and training data,Meta-learner,Covariate omission,Targeting error mean,Targeting error SD,Targeting error 95% CI,Targeting imprecision mean,Targeting imprecision SD,Targeting imprecision 95% CI,Ranking error mean,Ranking error SD,Ranking error 95% CI,Estimation error mean,Estimation error SD,Estimation error 95% CI,n Virtual studies
Random,500,0.3,Random,T-learner,No omission,0.568,0.253,"[0.497, 0.640]",0.392,0.061,"[0.375, 0.409]",0.269,0.040,"[0.258, 0.281]",5.062,0.396,"[4.950, 5.175]",50
Random,500,0.3,Random,X-learner,No omission,0.517,0.214,"[0.456, 0.578]",0.405,0.052,"[0.390, 0.419]",0.254,0.031,"[0.245, 0.263]",5.203,0.207,"[5.145, 5.262]",50
Random,500,0.3,Random,DR-learner,No omission,0.465,0.239,"[0.397, 0.533]",0.349,0.056,"[0.333, 0.365]",0.218,0.029,"[0.209, 0.226]",4.652,0.300,"[4.567, 4.737]",50
Random,500,0.3,Core,S-learner,No omission,0.644,0.095,"[0.617, 0.671]",0.552,0.092,"[0.526, 0.578]",0.303,0.056,"[0.288, 0.319]",4.202,0.201,"[4.145, 4.259]",50
Random,500,0.3,Core,T-learner,No omission,0.569,0.251,"[0.498, 0.641]",0.521,0.074,"[0.500, 0.542]",0.358,0.059,"[0.341, 0.375]",3.873,0.360,"[3.771, 3.975]",50
Random,500,0.3,Core,X-learner,No omission,0.514,0.221,"[0.451, 0.577]",0.475,0.060,"[0.458, 0.492]",0.279,0.056,"[0.263, 0.295]",3.560,0.287,"[3.479, 3.642]",50
Random,500,0.3,Core,DR-learner,No omission,0.512,0.252,"[0.440, 0.584]",0.508,0.046,"[0.495, 0.521]",0.301,0.039,"[0.290, 0.312]",3.738,0.362,"[3.635, 3.841]",50
Random,500,0.3,Edge,S-learner,No omission,0.709,0.094,"[0.683, 0.736]",0.555,0.072,"[0.535, 0.576]",0.405,0.096,"[0.378, 0.432]",6.374,0.438,"[6.250, 6.499]",50
Random,500,0.3,Edge,T-learner,No omission,0.534,0.196,"[0.479, 0.590]",0.471,0.085,"[0.447, 0.495]",0.307,0.104,"[0.277, 0.336]",3.675,0.445,"[3.549, 3.802]",50
Random,500,0.3,Edge,X-learner,No omission,0.593,0.200,"[0.536, 0.650]",0.423,0.058,"[0.406, 0.439]",0.270,0.082,"[0.247, 0.293]",3.647,0.244,"[3.578, 3.717]",50
Random,500,0.3,Edge,DR-learner,No omission,0.455,0.191,"[0.401, 0.509]",0.396,0.083,"[0.373, 0.420]",0.220,0.056,"[0.204, 0.236]",3.452,0.429,"[3.330, 3.574]",50
Random,500,0.3,Random,S-learner,Omit covariate,0.465,0.227,"[0.400, 0.529]",0.475,0.058,"[0.459, 0.492]",0.312,0.043,"[0.300, 0.324]",7.027,0.341,"[6.930, 7.124]",50
Random,500,0.3,Random,T-learner,Omit covariate,0.535,0.267,"[0.459, 0.611]",0.417,0.058,"[0.401, 0.434]",0.313,0.042,"[0.301, 0.325]",5.260,0.435,"[5.136, 5.383]",50
Random,500,0.3,Random,X-learner,Omit covariate,0.423,0.238,"[0.356, 0.491]",0.435,0.077,"[0.413, 0.457]",0.293,0.040,"[0.281, 0.304]",5.256,0.251,"[5.185, 5.327]",50
